year,month,population,pet,pea,employed,unemployed,inactive
1993,1,35663728.7,23171822.7,15026200.8,13342454.6,1683746.2,8070348.3
1993,2,35726681.3,23177171.9,15497238.7,13981845.8,1515392.9,7641171.0
1993,3,35773427.1,23181605.1,15710463.2,14225253.7,1485209.5,7460167.0
1993,4,35807445.1,23186566.7,15568579.4,13987834.8,1580744.6,7626709.4
1993,5,35828030.2,23190586.2,15460768.2,13870066.9,1590701.3,7751196.5
1993,6,35830890.8,23193429.6,15338382.2,13743425.6,1594956.5,7879711.5
1993,7,35808646.5,23195365.3,15104126.6,13432232.5,1671894.1,8105140.4
1993,8,35806749.6,23204995.1,15536362.0,13899391.3,1636970.7,7676275.2
1993,9,35821944.2,23212370.2,15759433.1,14176572.0,1582861.1,7466826.7
1993,10,35815107.2,23219290.4,15919282.3,14657245.3,1262037.0,7307479.7
1993,11,35799159.5,23227389.0,16210500.0,14847649.3,1362850.6,7011363.0
1993,12,35782630.8,23238062.3,16195258.4,14707652.3,1487606.1,7021400.0
1994,1,35767126.2,23252535.5,15970852.3,13935515.6,2035336.6,7241254.8
1994,2,35783951.3,23272048.6,16071732.0,14291224.6,1780507.4,7155178.5
1994,3,35820725.9,23294733.3,16157364.8,14469372.2,1687992.6,7096308.3
1994,4,35877580.0,23318846.9,16325045.6,14579912.7,1745132.9,6967426.2
1994,5,35949051.1,23344936.2,16282889.1,14571466.0,1711423.0,7057154.8
1994,6,36027411.5,23373220.8,15884952.5,14218596.1,1666356.3,7506819.8
1994,7,36105576.8,23404028.6,15715006.1,14000727.4,1714278.7,7728418.2
1994,8,36166563.4,23437509.7,15627107.6,13994678.7,1632429.0,7857746.6
1994,9,36209638.5,23471119.0,15669904.5,14118917.7,1550986.8,7845717.8
1994,10,36241676.3,23503812.4,15843396.8,14628655.5,1214741.3,7696436.8
1994,11,36269022.5,23534576.6,15904347.0,14601916.1,1302430.9,7656931.1
1994,12,36302387.4,23562264.9,16290582.9,14863454.7,1427128.2,7295769.5
1995,1,36339803.1,23586278.8,15737268.5,13773766.4,1963502.0,7876611.7
1995,2,36358442.7,23606205.1,15889265.0,14169367.3,1719897.7,7740957.6
1995,3,36376072.8,23625097.9,16260097.3,14610888.9,1649208.4,7385895.5
1995,4,36393451.2,23642813.1,16363289.7,14641241.9,1722047.9,7298352.9
1995,5,36402431.4,23660623.7,16539375.0,14820709.7,1718665.3,7132929.0
1995,6,36406296.6,23680714.3,16837000.6,15112878.5,1724122.2,6842937.3
1995,7,36401693.4,23703194.3,16818339.1,15003035.9,1815303.2,6864201.0
1995,8,36433751.8,23728433.5,16677980.5,14911634.9,1766345.7,7033588.3
1995,9,36444998.1,23757887.2,16561867.9,14840475.0,1721392.9,7166336.3
1995,10,36470767.6,23789732.6,16421353.9,15001571.3,1419782.6,7332207.2
1995,11,36535700.4,23823016.5,16207791.3,14642628.3,1565163.0,7594573.4
1995,12,36608817.1,23857886.3,15872532.5,14131877.2,1740655.3,7983580.4
1996,1,36693365.6,23894168.4,16145289.9,13784814.5,2360475.4,7771460.7
1996,2,36788315.1,23933722.4,16395055.7,14219660.9,2175394.8,7588611.5
1996,3,36845573.0,23976587.4,16086706.7,13960923.5,2125783.3,7941430.0
1996,4,36883361.5,24022773.8,15949955.5,13731743.4,2218212.1,8111094.3
1996,5,36915624.1,24070357.3,15936154.5,13707574.8,2228579.7,8154587.0
1996,6,36939191.3,24115478.5,15948008.6,13714811.0,2233197.6,8167314.6
1996,7,36991537.8,24157348.8,16471993.0,14139795.5,2332197.5,7685194.8
1996,8,37088746.6,24195907.1,16827042.4,14542152.1,2284890.3,7398906.4
1996,9,37165266.0,24231393.6,17207746.8,14983759.2,2223987.6,7074694.6
1996,10,37217581.4,24266906.4,17516811.5,15640667.7,1876143.8,6807751.2
1996,11,37231481.6,24303715.1,17705589.4,15732802.6,1972786.9,6638230.2
1996,12,37237678.7,24342006.1,17774080.9,15677999.8,2096081.1,6584475.5
1997,1,37254049.7,24382587.3,17527696.1,14858720.5,2668975.7,6851753.4
1997,2,37285636.4,24422840.4,17247478.1,14871056.3,2376421.8,7162027.9
1997,3,37341759.0,24460662.0,17079370.0,14809032.6,2270337.4,7374920.5
1997,4,37403928.0,24497494.0,17023371.4,14699696.5,2323675.0,7479381.6
1997,5,37464350.3,24534596.6,17176777.4,14872855.2,2303922.1,7373456.5
1997,6,37532345.8,24574006.4,17296349.9,15009185.4,2287164.5,7305947.4
1997,7,37576590.4,24615768.1,16944261.1,14595601.1,2348660.0,7695965.1
1997,8,37623517.6,24658466.2,16947518.9,14659375.6,2288143.3,7732289.0
1997,9,37678791.4,24701036.2,16965590.7,14736715.1,2228875.6,7758834.6
1997,10,37735240.9,24742444.8,16803886.3,14894753.6,1909132.7,7965906.8
1997,11,37794251.9,24782861.2,16705643.4,14672039.7,2033603.7,8111094.4
1997,12,37846514.0,24822592.3,16524919.6,14334883.1,2190036.5,8334776.6
1998,1,37880577.9,24861657.0,16407657.4,13633513.2,2774144.3,8484169.7
1998,2,37908525.3,24902128.5,16397002.5,13827294.8,2569707.7,8523344.1
1998,3,37940298.7,24943238.3,16930782.7,14383360.0,2547422.7,8020410.5
1998,4,37981562.1,24984071.6,17668465.3,14987554.7,2680910.6,7319284.1
1998,5,38027283.8,25025288.5,17734394.7,15024309.0,2710085.7,7292613.3
1998,6,38080988.5,25067111.7,17858283.9,15113712.1,2744571.9,7212789.4
1998,7,38152619.0,25109958.0,17845543.3,14976738.9,2868804.4,7280340.9
1998,8,38215435.9,25154762.9,17404287.8,14562652.8,2841635.0,7768837.8
1998,9,38268185.6,25200750.8,17166935.5,14342301.5,2824634.1,8047488.8
1998,10,38335376.2,25247012.9,17182134.1,14619238.6,2562895.5,8082262.6
1998,11,38409562.8,25292303.1,17255293.2,14521333.0,2733960.2,8063322.0
1998,12,38485351.0,25335782.0,17872887.9,14924659.9,2948228.0,7500964.9
1999,1,38561676.7,25376701.3,18645737.8,14999254.8,3646483.1,6783747.8
1999,2,38616317.8,25414080.7,18255101.3,14817757.6,3437343.7,7217099.6
1999,3,38656480.7,25449158.8,17771223.3,14368766.2,3402457.1,7735115.0
1999,4,38681060.0,25483111.8,17048161.4,13547017.2,3501144.1,8483071.0
1999,5,38693208.8,25515646.3,16815628.2,13283932.0,3531696.2,8733126.9
1999,6,38698266.8,25546597.0,16635796.6,13075927.3,3559869.3,8926308.3
1999,7,38701530.5,25575607.2,16800551.5,13126914.8,3673636.7,8773885.2
1999,8,38716900.5,25602448.1,17261245.7,13594095.1,3667150.6,8332817.1
1999,9,38745844.0,25629036.9,17434109.5,13793960.1,3640149.4,8187750.7
1999,10,38783347.6,25656146.3,17562380.5,14206183.3,3356197.2,8092430.0
1999,11,38824529.5,25684570.3,17792000.8,14309957.6,3482043.3,7898022.8
1999,12,38860149.0,25715337.5,17636495.7,14007838.9,3628656.8,8085479.9
2000,1,38891705.3,25749071.5,17144512.1,12981475.8,4163036.3,8607063.6
2000,2,38940081.6,25786311.2,17487722.7,13535874.4,3951848.3,8303544.2
2000,3,38989486.7,25826764.7,17887766.8,14008244.5,3879522.3,7943883.7
2000,4,39039243.9,25869829.9,18052759.1,14124376.6,3928382.5,7819561.4
2000,5,39097214.1,25913955.1,18079994.5,14200303.3,3879691.2,7837967.1
2000,6,39160604.9,25957385.1,17969472.9,14154946.1,3814526.8,7997440.4
2000,7,39233002.6,26000290.6,17818489.3,13997270.7,3821218.6,8202823.1
2000,8,39311623.4,26041004.8,17772986.4,14085973.2,3687013.2,8306519.3
2000,9,39391696.1,26081662.1,17881611.8,14340728.5,3540883.3,8257030.9
2000,10,39449137.7,26121895.1,17852480.3,14733197.7,3119282.7,8331832.0
2000,11,39474973.7,26161987.2,17831534.7,14715812.8,3115722.0,8379648.8
2000,12,39498647.5,26201451.1,17916069.9,14782322.3,3133747.6,8320771.6
2001,1,39559160.9,26240171.0,18119750.8,15107827.9,3011923.0,8120395.9
2001,2,39600115.2,26278291.8,18119189.9,14960253.0,3158936.9,8159964.7
2001,3,39637089.1,26314931.1,17995901.0,15150401.1,2845499.9,8318545.6
2001,4,39678042.4,26349964.3,17188760.3,14693798.4,2494962.0,9164664.4
2001,5,39717738.8,26384375.4,17261667.5,14838848.6,2422818.9,9129861.0
2001,6,39759243.6,26419829.1,17532963.9,14848256.2,2684707.7,8898588.9
2001,7,39816337.9,26456314.5,17672749.7,14989352.1,2683397.5,8806011.7
2001,8,39858370.3,26495803.3,17884075.8,15216932.4,2667143.4,8635102.5
2001,9,39899756.8,26535315.3,18141845.3,15588535.9,2553309.4,8417195.1
2001,10,39939351.8,26574856.1,18222380.9,15575592.7,2646788.2,8374865.4
2001,11,39979928.5,26614446.6,18561486.4,16021864.2,2539622.2,8075141.4
2001,12,40018965.2,26654099.4,18354394.8,15856651.7,2497743.1,8320271.1
2002,1,40059234.9,26693812.6,18262372.5,14991609.0,3270763.5,8451639.6
2002,2,40099346.6,26733302.6,18248795.3,15294529.7,2954265.6,8504504.0
2002,3,40135580.3,26772878.4,17989843.1,15271327.4,2718515.7,8799092.4
2002,4,40175701.9,26812560.6,18479691.4,15508712.0,2970979.4,8348819.0
2002,5,40214964.1,26852356.5,17920480.6,15228452.2,2692028.5,8946882.5
2002,6,40255953.2,26892257.0,17911471.9,15061574.7,2849897.2,8996638.3
2002,7,40306423.2,26932283.5,18170345.6,15367367.4,2802978.1,8782296.3
2002,8,40348181.3,26972449.7,17964249.7,15098459.7,2865790.1,9029838.3
2002,9,40389511.2,27012739.4,18023534.3,15416343.9,2607190.4,9011692.4
2002,10,40429273.1,27053145.8,18577204.4,15795718.0,2781486.4,8497592.7
2002,11,40469989.0,27093691.1,18549896.6,15732294.9,2817601.7,8565537.6
2002,12,40509355.5,27134357.8,18193367.5,15387496.4,2805871.2,8961616.4
2003,1,40550184.6,27175149.1,18330371.1,15347741.5,2982629.6,8865634.4
2003,2,40590628.1,27215222.2,18472760.6,15546976.5,2925784.1,8764015.5
2003,3,40627188.7,27255386.1,18525116.3,16097270.6,2427845.7,8748696.7
2003,4,40667797.2,27295606.6,18451966.0,15683072.8,2768893.1,8863087.0
2003,5,40707276.0,27335905.2,18681034.9,16286863.5,2394171.4,8674328.7
2003,6,40748515.5,27376299.2,18210651.8,15642021.3,2568630.6,9186954.5
2003,7,40784056.6,27416772.5,18538646.8,15847886.2,2690760.6,8894872.5
2003,8,40825361.6,27457316.6,18866329.5,16153717.1,2712612.4,8609725.5
2003,9,40865860.9,27497965.8,18945499.8,16248652.7,2696847.1,8572372.4
2003,10,40905022.7,27538809.6,19213932.7,16615792.9,2598139.8,8344447.1
2003,11,40945274.5,27579753.9,19080001.3,16669202.7,2410798.6,8520161.7
2003,12,40984040.9,27620799.4,18916744.5,16541128.1,2375616.4,8723919.0
2004,1,41024060.2,27661922.4,18858923.3,15604548.2,3254375.1,8823611.1
2004,2,41063940.4,27703266.3,18691260.7,15746745.5,2944515.3,9033305.9
2004,3,41101105.1,27744692.4,18750419.3,16214861.8,2535557.5,9013519.6
2004,4,41140929.7,27786271.8,18629120.7,15894181.1,2734939.7,9177263.3
2004,5,41179533.1,27827962.2,18659731.3,16078539.4,2581191.9,9188177.9
2004,6,41219244.4,27869805.0,18311869.7,15734731.7,2577138.1,9579213.6
2004,7,41254875.9,27911786.2,18632928.2,16227650.0,2405278.1,9296717.2
2004,8,41294338.8,27953926.6,18507936.8,16091365.6,2416571.2,9465231.7
2004,9,41333855.4,27996212.1,18505659.6,16232225.4,2273434.2,9511165.2
2004,10,41371579.5,28038539.7,18746928.8,16443748.6,2303180.2,9311736.5
2004,11,41410658.8,28081023.6,18911434.4,16672930.3,2238504.2,9190841.7
2004,12,41448198.1,28123667.6,18557802.5,16339413.3,2218389.2,9586635.7
2005,1,41447741.6,28166489.7,18515137.9,16059540.6,2455597.3,9673080.5
2005,2,41489216.0,28209448.3,18652866.4,16023390.0,2629476.5,9579126.3
2005,3,41526959.5,28252593.2,18574931.9,16168670.3,2406261.6,9696939.0
2005,4,41568652.5,28295887.2,18579353.2,16346023.4,2233329.7,9736836.8
2005,5,41609491.0,28339347.7,18712930.3,16375557.3,2337373.0,9646706.9
2005,6,41651708.2,28382934.0,18439069.0,16310707.9,2128361.1,9965879.9
2005,7,41689776.0,28426650.0,18924857.0,16644723.6,2280133.4,9520291.9
2005,8,41732400.1,28470492.8,18623698.4,16441219.0,2182479.4,9867208.6
2005,9,41774793.8,28514462.7,18759786.9,16633692.5,2126094.5,9776565.3
2005,10,41815790.6,28558525.7,19133960.3,17239985.0,1893975.3,9446231.6
2005,11,41857739.2,28602688.3,18952430.1,17003867.8,1948562.3,9672881.0
2005,12,41898267.5,28646946.7,19111350.7,17148186.4,1963164.2,9557680.1
2006,1,41940109.2,28691323.6,18837644.6,16319121.0,2518523.5,9876687.2
2006,2,41982103.3,28738086.5,18919142.9,16444670.5,2474472.5,9840488.4
2006,3,42020306.3,28782428.3,19056401.7,16890233.4,2166168.3,9744225.3
2006,4,42062653.6,28826812.9,18617626.0,16371545.6,2246080.4,10228515.0
2006,5,42104238.7,28871180.3,18767486.0,16540015.5,2227470.5,10123251.9
2006,6,42147632.8,28915556.1,19158461.6,17151173.2,2007288.4,9779011.0
2006,7,42226707.5,28959886.2,19101350.1,16752016.5,2349333.6,9904952.7
2006,8,42227957.2,29004182.4,18548110.1,16128705.5,2419404.7,10474899.1
2006,9,42270755.1,29048405.0,18272064.6,15912226.0,2359838.5,10796903.0
2006,10,42311463.0,29092560.7,18289019.2,16212293.1,2076726.2,10823580.9
2006,11,42353722.5,29136614.7,18314182.0,16300291.1,2013891.0,10843638.9
2006,12,42393862.9,29180554.9,18263090.8,16100692.0,2162398.8,10937901.4
2007,1,42435740.8,29224343.9,18166587.2,15572547.5,2594039.7,11079299.4
2007,2,42476614.6,29266717.3,18729532.8,16321626.5,2407906.4,10560768.7
2007,3,42513520.1,29311430.7,18372390.1,16161585.9,2210804.2,10958106.4
2007,4,42553578.6,29356003.3,18911552.7,16867615.7,2043937.0,10463236.0
2007,5,42592276.2,29400414.8,18653445.6,16470670.7,2182774.9,10764574.6
2007,6,42631824.7,29444642.6,18658331.1,16568836.2,2089494.9,10804608.8
2007,7,42689511.3,29488726.7,18685476.4,16563914.5,2121561.9,10829307.7
2007,8,42728560.9,29532636.8,18622133.8,16599438.9,2022694.9,10937436.1
2007,9,42766753.4,29576415.9,18853453.2,16803913.3,2049539.9,10750386.0
2007,10,42802470.7,29620193.1,19618891.8,17615423.9,2003467.9,10026645.6
2007,11,42838912.8,29663886.2,19226769.8,17402450.9,1824318.8,10461785.1
2007,12,42873795.8,29707556.2,18772538.9,16909658.1,1862880.8,10957462.3
2008,1,42909555.4,29751229.3,18766957.8,16271421.2,2495536.6,11005850.5
2008,2,42945133.0,29796206.9,19241901.6,16895438.1,2346463.5,10573749.2
2008,3,42978421.7,29841379.7,19325686.2,17134514.6,2191171.5,10530136.7
2008,4,43014132.3,29886780.0,19475904.4,17318172.8,2157731.5,10423201.4
2008,5,43049636.5,29932443.1,19312606.3,17224514.7,2088091.6,10629454.0
2008,6,43086729.0,29978393.9,18730390.1,16592557.3,2137832.8,11256627.2
2008,7,43171797.4,30024621.0,19261720.9,16909832.0,2351888.9,10792794.0
2008,8,43212198.9,30071174.0,19090100.9,16908828.8,2181272.0,11011542.3
2008,9,43252411.7,30118032.7,19265866.0,17137613.0,2128253.1,10882776.5
2008,10,43290576.7,30165050.0,19187934.4,17234307.3,1953627.1,11005560.9
2008,11,43329991.2,30212375.3,18893023.0,16831509.9,2061513.1,11346941.5
2008,12,43367620.1,30259957.1,19359285.5,17273698.5,2085587.0,10925440.3
2009,1,43406964.4,30307796.9,19385383.6,16579852.9,2805530.8,10946060.8
2009,2,43445681.3,30353341.0,19790111.6,17262728.0,2527383.6,10587843.7
2009,3,43480046.4,30398964.1,20051835.1,17608338.7,2443496.4,10368195.4
